    Country,Month,Average Daily Temperature (C),Average Daily Wind Speed (kph),Average Daily Rainfall (mm)
India,3,26.141935483870967,5.54516129032258,0.0
India,4,31.163333333333334,6.206666666666667,
India,5,34.11612903225806,7.53225806451613,3.0
India,6,28.18333333333333,7.309999999999998,5.42
India,7,27.31612903225807,5.3032258064516125,37.166666666666664
India,8,25.97741935483872,9.180645161290322,10.879999999999999
India,9,27.369999999999994,3.8066666666666675,7.938461538461538
India,10,26.525806451612905,3.5903225806451613,2.58
India,11,22.61666666666667,3.2800000000000002,
India,12,20.25161290322581,2.7387096774193544,
India,13,23.270967741935483,6.048387096774195,0.0033333333333333335
India,14,23.66428571428571,6.503571428571429,0.33571428571428574
India,15,28.251612903225798,6.509677419354839,0.2129032258064516
Switzerland,3,3.9699999999999998,4.960000000000002,2.9033333333333333
Switzerland,4,11.359999999999998,5.403333333333332,2.775862068965517
Switzerland,5,12.425806451612905,4.525806451612903,3.270000000000001
Switzerland,6,14.283333333333335,4.3100000000000005,4.620689655172414
Switzerland,7,17.806451612903224,4.573333333333333,5.163333333333335
Switzerland,8,17.367741935483874,4.166666666666666,5.7700000000000005
Switzerland,9,14.446666666666665,3.7689655172413805,3.003448275862069
Switzerland,10,7.819354838709677,4.370967741935484,5.138709677419356
Switzerland,11,5.493333333333333,3.540000000000001,14.593103448275867
Switzerland,12,0.8096774193548386,4.258064516129032,20.71612903225807
Switzerland,13,-1.4161290322580637,4.464516129032257,9.263333333333334
Switzerland,14,3.8749999999999996,5.521428571428572,3.896428571428572
Switzerland,15,4.126666666666667,4.91,5.866666666666666
